manufacturerID,organizationName,company,registered
0,ESTA,ESTA,True
0,PLASA,PLASA,True
1,,GEE,True
2,,Abstract AVR Ltd.,True
3,,"Chromatech Lighting Co., Ltd.",True
8,,"Guangdong Nanguang Photo & Video Systems Co., Ltd.",True
9,,"Aputure Imaging Industries Co., Ltd.",True
10,,Interactive Imagination Ltd.,True
11,,Phospec Industries Inc.,True
12,,WAC Lighting Co.,True
13,,"Guangzhou Haoteng Lighting Co., Ltd.",True
14,,"Yaoxing Lighting Equipment  (Guanghzou）Co., Ltd.",True
15,,"Shenzhen L-Thinker Technology Co., Ltd.",True
16,,"Dongguan Mi Xing Electronic Technology Co., Ltd.",True
17,,"Beijing Kedeshengye Technology Service Co., Ltd.",True
18,,"Apex Pro Light Co., Ltd.",True
19,,Litemover BV,True
20,,"SIRS Electronics, Inc.",True
21,,Lumencraft Lighting Solutions,True
22,,"Shenzhen Xuntek Electronics Co., Ltd",True
23,,Ereimul,True
24,,"Macroblock, Inc.",True
25,,"Odelic Co., Ltd.",True
26,,DLL Ltd.,True
27,,Changsha Sunrise Electronic Technology Co. Ltd.,True
28,,Kindwin Technology (HK) Ltd.,True
29,,Luminator Technology Group,True
30,,Shenzhen Lumi Lime Technology Limited,True
32,,Wattle IT,True
33,,Electric Foundry Ltd.,True
34,,"PixelFLEX, LLC",True
87,,"Blackbezt Lighting Technology Co., Ltd.",True
88,,"Big Dipper Laser Science and Technology Co.,Ltd.",True
89,,"Laysion Lighting Technology Co., Ltd.",True
90,,TPD Lighting,True
106,,AIMTECH Electronik Tasarim Ltd. Sti.,True
107,,SALZBRENNER media GmbH,True
108,,Flash-Butrym Sp.J.,True
109,,AA Tasarim Ltd.,True
110,,WHITEvoid GmbH,True
111,,AC Power Distribution/ACT Lighting Inc.,True
112,,Instalighting GmbH,True
113,,"Guangzhou Huaxinyuan Electronics Co., Ltd.",True
114,,"Guangzhou Zenith Aurora Lighting Co., Ltd.",True
115,,"Meijay Technologies Co., Ltd.",True
116,,Thomann GmbH,True
117,,ODELI,True
118,,R. S. Schwarze Elektrotechnik Moderne Industrieelektronik GmbH,True
119,,CHAMP Licht,True
120,,Andy Lighting Technology Group Ltd.,True
121,,"Leyard Opto Electronics Co., Ltd.",True
122,,Equivalent,True
123,,alurays lighting technology GmbH,True
124,,"Huizhou Desay Intelligent Technology Co., Ltd.",True
125,,JMS Pro Light,True
126,,Stichting Hypar Collective,True
128,,"Shenzhen AOTO Electronics Co., Ltd.",True
129,,Pino Solutions,True
130,,LKE Lasershowtechnik GmbH,True
131,,"Guangzhou Bright Moon Technology Co., Ltd.",True
132,,LEDIXIS (Exalux brand),True
133,,"Guangzhou Nanshi Light Equipment Co., Ltd.",True
134,,"Intella System Co., Ltd.",True
135,,LMBD,True
136,,"Guangzhou YaFeng Optoelectronic Equipment Co., Ltd.",True
137,,Vulcan Lighting,True
138,,"Guangzhou Lees Electronics Co., Ltd.",True
139,,Opto Tech Corporation,True
140,,LRX Lighting (Dwight Crane Ltd.),True
141,,"Guangzhou Minghao Electronic Technology Co., Ltd.",True
142,,"Guangzhou Ao Mei Di Stage Lighting Equipment Co.,Ltd.",True
143,,"Jiangmen Coolfish Technology Co., Ltd.",True
144,,Cyclops Lighting,True
145,,"Guangzhou Shuozhi Optoelectronic Technology Co., Ltd. (Konelite)",True
146,,digiLED (UK) Ltd.,True
147,LUMINOUS,Luminous Show Technology Ltd.,True
148,,"Joinmax Display Technology Co., Ltd.",True
149,,"Ningbo Jeg Lighting Tech Co., Ltd.",True
150,,"SiChuan YuZhiWei Information Technology Lt., Co.",True
